sample_id,label,stage,status,max_abs_diff,mean_abs_diff,cosine_similarity
sample_0001,silence,fft,PASS,7.275957614183426e-12,2.4119649231031695e-13,0.9999999999999847
sample_0001,silence,mel,PASS,1.4551915228366852e-11,4.403401976107974e-13,0.9999999999999928
sample_0001,silence,log,PASS,9.5367431640625e-07,7.86368209536713e-08,0.9999999999999997
sample_0001,silence,normalize,PASS,2.384185791015625e-07,1.6634712124815083e-08,0.9999999999999988
sample_0002,silence,fft,PASS,7.450580596923828e-09,1.793056141021912e-11,0.9999999999999951
sample_0002,silence,mel,PASS,7.450580596923828e-09,3.989758468597781e-11,0.9999999999999927
sample_0002,silence,log,PASS,3.814697265625e-06,1.576793665933137e-07,0.9999999999999996
sample_0002,silence,normalize,PASS,7.748603820800781e-07,3.2671318921988994e-08,0.9999999999999909
sample_0003,silence,fft,PASS,1.9073486328125e-06,1.641016485124321e-07,0.9999999999999812
sample_0003,silence,mel,PASS,3.814697265625e-06,2.76985341734322e-07,0.9999999999999943
sample_0003,silence,log,PASS,6.198883056640625e-06,1.4721768316616868e-07,0.999999999999983
sample_0003,silence,normalize,PASS,1.2852251529693604e-06,3.167937537378604e-08,0.9999999999999994
sample_0004,silence,fft,PASS,4.6566128730773926e-09,2.106968927249396e-11,0.9999999999999906
sample_0004,silence,mel,PASS,3.725290298461914e-09,4.894693451431652e-11,0.9999999999999907
sample_0004,silence,log,PASS,2.86102294921875e-06,1.9017422553336266e-07,1.0000000000000004
sample_0004,silence,normalize,PASS,5.960464477539062e-07,3.940106706907743e-08,0.9999999999999893
sample_0005,silence,fft,PASS,0.00048828125,6.296339243526087e-07,0.9999999999999943
sample_0005,silence,mel,PASS,6.103515625e-05,8.585242053728993e-07,0.9999999999999907
sample_0005,silence,log,PASS,3.910064697265625e-05,1.7242345535069575e-07,0.9999999999999346
sample_0005,silence,normalize,PASS,8.11740756034851e-06,3.55764070876164e-08,0.9999999999999969
sample_0006,silence,fft,PASS,0.0009765625,1.9355195233970104e-06,0.9999999999999951
sample_0006,silence,mel,PASS,0.00030517578125,2.8162007450614826e-06,0.9999999999999858
sample_0006,silence,log,PASS,5.4836273193359375e-06,1.5919489093300067e-07,0.999999999999995
sample_0006,silence,normalize,PASS,1.1920928955078125e-06,3.3739696044733026e-08,0.9999999999999992
sample_0007,silence,fft,PASS,0.00048828125,7.429319617805114e-07,0.9999999999999898
sample_0007,silence,mel,PASS,9.1552734375e-05,1.0081427114195015e-06,0.9999999999999892
sample_0007,silence,log,PASS,8.58306884765625e-06,1.6486237564995553e-07,0.9999999999999857
sample_0007,silence,normalize,PASS,1.7881393432617188e-06,3.326020323403991e-08,0.9999999999999984
sample_0008,silence,fft,PASS,1.9073486328125e-05,1.5352585994513136e-06,0.9999999999999817
sample_0008,silence,mel,PASS,3.0517578125e-05,2.5845550739501446e-06,0.9999999999999946
sample_0008,silence,log,PASS,8.58306884765625e-06,1.476391033894189e-07,0.9999999999999969
sample_0008,silence,normalize,PASS,1.7583370208740234e-06,3.096878085986222e-08,0.9999999999999999
sample_0009,silence,fft,PASS,2.86102294921875e-06,2.0062296094754118e-07,0.999999999999981
sample_0009,silence,mel,PASS,3.814697265625e-06,3.322334798735262e-07,0.9999999999999952
sample_0009,silence,log,PASS,4.291534423828125e-06,1.457386736000847e-07,0.9999999999999865
sample_0009,silence,normalize,PASS,8.940696716308594e-07,3.083507613380357e-08,0.9999999999999996
sample_0010,silence,fft,PASS,2.9802322387695312e-08,4.795365418973493e-10,0.9999999999999847
sample_0010,silence,mel,PASS,2.2351741790771484e-08,9.291923534235165e-10,0.9999999999999913
sample_0010,silence,log,PASS,1.9073486328125e-06,1.4119219071794265e-07,0.9999999999999997
sample_0010,silence,normalize,PASS,3.986060619354248e-07,2.9319615391208986e-08,0.9999999999999913
sample_0011,silence,fft,PASS,0.0009765625,1.6623037469839776e-06,0.9999999999999937
sample_0011,silence,mel,PASS,0.000244140625,1.934405397808198e-06,0.9999999999999902
sample_0011,silence,log,PASS,2.5033950805664062e-06,1.7432939126583823e-07,0.9999999999999938
sample_0011,silence,normalize,PASS,5.960464477539062e-07,3.6773410173926026e-08,0.9999999999999987
sample_0012,silence,fft,PASS,4.76837158203125e-07,9.080170804615209e-09,0.9999999999999862
sample_0012,silence,mel,PASS,4.76837158203125e-07,2.0438538500808263e-08,0.9999999999999911
sample_0012,silence,log,PASS,1.430511474609375e-05,1.8219365265755224e-07,0.9999999999999937
sample_0012,silence,normalize,PASS,2.9802322387695312e-06,3.759797067741061e-08,0.9999999999999963
sample_0013,silence,fft,PASS,1.52587890625e-05,5.841279611749785e-08,0.9999999999999934
sample_0013,silence,mel,PASS,1.52587890625e-05,1.1136828471526405e-07,0.9999999999999959
sample_0013,silence,log,PASS,8.58306884765625e-06,1.7830447321481044e-07,0.9999999999999966
sample_0013,silence,normalize,PASS,1.7881393432617188e-06,3.734374439601998e-08,0.9999999999999977
sample_0014,silence,fft,PASS,5.820766091346741e-11,5.936573252819068e-13,0.9999999999999856
sample_0014,silence,mel,PASS,4.3655745685100555e-11,1.1924726882507221e-12,0.9999999999999891
sample_0014,silence,log,PASS,9.5367431640625e-07,1.0888175208969872e-07,0.9999999999999997
sample_0014,silence,normalize,PASS,2.384185791015625e-07,2.2863508156030484e-08,0.9999999999999981
sample_0015,silence,fft,PASS,1.9073486328125e-06,4.598669157737531e-09,0.9999999999999852
sample_0015,silence,mel,PASS,1.430511474609375e-06,8.939041841171778e-09,0.9999999999999893
sample_0015,silence,log,PASS,4.291534423828125e-06,1.3998654292951715e-07,0.9999999999999972
sample_0015,silence,normalize,PASS,8.940696716308594e-07,2.8984389489166217e-08,0.9999999999999978
sample_0016,silence,fft,PASS,9.313225746154785e-10,1.4879237234241103e-11,0.9999999999999851
sample_0016,silence,mel,PASS,1.3969838619232178e-09,2.874640899357032e-11,0.9999999999999919
sample_0016,silence,log,PASS,1.9073486328125e-06,1.5151972817902517e-07,1.0
sample_0016,silence,normalize,PASS,4.172325134277344e-07,3.134097130554221e-08,0.9999999999999903
sample_0017,silence,fft,PASS,1.1444091796875e-05,2.8115142761752594e-08,0.999999999999989
sample_0017,silence,mel,PASS,1.52587890625e-05,6.717639316978213e-08,0.9999999999999912
sample_0017,silence,log,PASS,1.239776611328125e-05,1.8563342915639272e-07,0.9999999999999906
sample_0017,silence,normalize,PASS,2.562999725341797e-06,3.8813775990822233e-08,0.9999999999999961
sample_0018,silence,fft,PASS,3.0517578125e-05,1.7776373075424537e-06,0.9999999999999819
sample_0018,silence,mel,PASS,4.57763671875e-05,3.0702180767980505e-06,0.9999999999999942
sample_0018,silence,log,PASS,7.152557373046875e-06,1.475012023808748e-07,0.9999999999999971
sample_0018,silence,normalize,PASS,1.4901161193847656e-06,3.125924285095517e-08,0.9999999999999998
sample_0019,silence,fft,PASS,2.86102294921875e-06,7.645452003751141e-08,0.9999999999999843
sample_0019,silence,mel,PASS,4.76837158203125e-06,1.363302121402253e-07,0.9999999999999943
sample_0019,silence,log,PASS,6.67572021484375e-06,1.6228280554348048e-07,0.9999999999999832
sample_0019,silence,normalize,PASS,1.385807991027832e-06,3.4171931150526104e-08,0.9999999999999994
sample_0020,silence,fft,PASS,0.000732421875,1.1377707342482246e-06,0.9999999999999943
sample_0020,silence,mel,PASS,0.000244140625,1.4956925285629706e-06,0.9999999999999855
